unique.cellid,unique.drugid
LS-513,ABT-263
LU-135,ABT-263
LU-65,ABT-263
LU-99A,ABT-263
LXF-289,ABT-263
LY2,ABT-263
M14,ABT-263
Malme-3M,ABT-263
MA-CLS-2,ABT-263
MB 157,ABT-263
MC-CAR,ABT-263
MC-IXC,ABT-263
MCF10A,ABT-263
MCF10F,ABT-263
MCF12A,ABT-263
MCF7,ABT-263
MDA PCa 2b,ABT-263
MDA-MB-134-VI,ABT-263
MDA-MB-157,ABT-263
MDA-MB-175-VII,ABT-263
MDA-MB-231,ABT-263
MDA-MB-330,ABT-263
MDA-MB-361,ABT-263
MDA-MB-415,ABT-263
MDA-MB-435,ABT-263
MDA-MB-436,ABT-263
MDA-MB-453,ABT-263
MDA-MB-468,ABT-263
MEC-1,ABT-263
MEG-01,ABT-263
MES-SA,ABT-263
Mewo,ABT-263
MFE-319,ABT-263
MFM-223,ABT-263
MG-63,ABT-263
MHH-PREB-1,ABT-263
MIA-PaCa-2,ABT-263
MKN1,ABT-263
MKN45,ABT-263
MKN7,ABT-263
MKN74,ABT-263
ML-2,ABT-263
MM1-S,ABT-263
MOLM-16,ABT-263
MOLT-16,ABT-263
MOLT-4,ABT-263
MOR/CPR,ABT-263
MPP-89,ABT-263
MSTO-211H,ABT-263
MT3,ABT-263
MV-4-11,ABT-263
MX-1,ABT-263
NALM-1,ABT-263
NALM-6,ABT-263
NB-TU-1-10,ABT-263
NB1,ABT-263
NB4,ABT-263
NC37,ABT-263
NCC-IT-A3,ABT-263
NCI-ADR-RES,ABT-263
NCI-H1048,ABT-263
NCI-H1092,ABT-263
NCI-H1105,ABT-263
NCI-H1155,ABT-263
NCI-H1299,ABT-263
NCI-H1355,ABT-263
NCI-H1373,ABT-263
NCI-H1395,ABT-263
NCI-H1435,ABT-263
NCI-H1436,ABT-263
NCI-H1437,ABT-263
NCI-H146,ABT-263
NCI-H1563,ABT-263
NCI-H1568,ABT-263
NCI-H157,ABT-263
NCI-H1573,ABT-263
NCI-H1581,ABT-263
NCI-H1618,ABT-263
NCI-H1623,ABT-263
NCI-H1650,ABT-263
NCI-H1651,ABT-263
NCI-H1666,ABT-263
NCI-H1694,ABT-263
NCI-H1703,ABT-263
NCI-H1755,ABT-263
NCI-H1770,ABT-263
NCI-H1781,ABT-263
NCI-H1792,ABT-263
NCI-H1793,ABT-263
NCI-H1836,ABT-263
NCI-H1838,ABT-263
NCI-H187,ABT-263
NCI-H1876,ABT-263
NCI-H1915,ABT-263
NCI-H1930,ABT-263
NCI-H1944,ABT-263
NCI-H1963,ABT-263
NCI-H1975,ABT-263
NCI-H1993,ABT-263
NCI-H2009,ABT-263
NCI-H2023,ABT-263
NCI-H2029,ABT-263
NCI-H2030,ABT-263
NCI-H2052,ABT-263
NCI-H2073,ABT-263
NCI-H2081,ABT-263
NCI-H2087,ABT-263
NCI-H209,ABT-263
NCI-H2107,ABT-263
NCI-H2110,ABT-263
NCI-H2122,ABT-263
NCI-H2126,ABT-263
NCI-H2141,ABT-263
NCI-H2170,ABT-263
NCI-H2171,ABT-263
NCI-H2172,ABT-263
NCI-H2196,ABT-263
NCI-H2228,ABT-263
NCI-H226,ABT-263
NCI-H2286,ABT-263
NCI-H23,ABT-263
NCI-H2342,ABT-263
NCI-H2347,ABT-263
NCI-H2405,ABT-263
NCI-H28,ABT-263
NCI-H292,ABT-263
NCI-H295,ABT-263
NCI-H322,ABT-263
NCI-H3255,ABT-263
NCI-H358,ABT-263
NCI-H441,ABT-263
NCI-H446,ABT-263
NCI-H460,ABT-263
NCI-H508,ABT-263
NCI-H510A,ABT-263
NCI-H520,ABT-263
NCI-H522,ABT-263
NCI-H524,ABT-263
NCI-H526,ABT-263
NCI-H596,ABT-263
NCI-H630,ABT-263
NCI-H650,ABT-263
NCI-H660,ABT-263
NCI-H661,ABT-263
NCI-H69,ABT-263
